
     Program DYNMAT v.6.4 starts on  7Jan2021 at 20:25:31 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
         "P. Giannozzi et al., J. Phys.:Condens. Matter 29 465901 (2017);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI), running on    16 processors

     MPI processes distributed on     1 nodes
     R & G space division:  proc/nbgrp/npool/nimage =      16

     Reading Dynamical Matrix from file AlPO3_3.dynG
     ...Force constants read
     ...epsilon and Z* read
     ...Raman cross sections read
     Acoustic Sum Rule: || Z*(ASR) - Z*(orig)|| =    7.217650E-02
     Acoustic Sum Rule: ||dyn(ASR) - dyn(orig)||=    1.195549E-01
     A direction for q was not specified:TO-LO splitting will be absent

     Polarizability (A^3 units)
     multiply by 0.667384 for Clausius-Mossotti correction
       301.277472   -0.000700   -0.000700
        -0.000700  301.277472   -0.000700
        -0.000700   -0.000700  301.277472

     IR activities are in (D/A)^2/amu units
     Raman activities are in A^4/amu units
     multiply Raman by 0.445401 for Clausius-Mossotti correction

# mode   [cm-1]    [THz]      IR          Raman   depol.fact
  220    286.74    8.5964    0.0565         0.2485    0.0782
  221    287.44    8.6171    0.4371        12.1964    0.7500
  222    287.44    8.6171    0.4371        12.1964    0.7500
  223    290.16    8.6987    0.3129         9.3725    0.7378
  224    293.26    8.7916    0.1088         5.1161    0.7331
  225    294.40    8.8257    0.4116         7.3271    0.7296
  226    294.92    8.8416    0.1414         5.5097    0.7500
  227    294.92    8.8416    0.1414         5.5097    0.7500
  228    298.12    8.9373    0.0000         0.5306    0.7330
  229    298.54    8.9500    0.0651         4.7786    0.7500
  230    298.54    8.9500    0.0651         4.7786    0.7500
  231    302.53    9.0696    0.4042         6.0053    0.7500
  232    302.53    9.0696    0.4042         6.0053    0.7500
  233    305.87    9.1696    1.2566         2.3005    0.7500
  234    305.87    9.1696    1.2566         2.3005    0.7500
  235    306.16    9.1785    5.2503         5.5943    0.7494
  236    306.94    9.2020    1.5101         0.6856    0.7500
  237    306.94    9.2020    1.5101         0.6856    0.7500
  238    310.90    9.3205    0.6292         0.3053    0.7500
  239    310.90    9.3205    0.6292         0.3053    0.7500
  240    312.76    9.3764    0.3323         0.6440    0.7461
  241    314.14    9.4178    0.0617         2.6847    0.7500
  242    314.14    9.4178    0.0617         2.6847    0.7500
  243    320.48    9.6079    0.1489         2.8824    0.0004
  244    320.75    9.6159    0.4762         3.4097    0.7500
  245    320.75    9.6159    0.4762         3.4097    0.7500
  246    321.86    9.6490    0.0648         0.8182    0.1911
  247    322.90    9.6802    0.5563         2.6218    0.7500
  248    322.90    9.6802    0.5563         2.6218    0.7500
  249    323.80    9.7074    0.0467         0.5925    0.7500
  250    323.80    9.7074    0.0467         0.5925    0.7500
  251    326.55    9.7896    0.1031         0.4318    0.7500
  252    326.55    9.7896    0.1031         0.4318    0.7500
  253    327.80    9.8273    0.0007         0.1351    0.6664
  254    327.93    9.8311    0.0895         7.9129    0.7500
  255    327.93    9.8311    0.0895         7.9129    0.7500
  256    330.76    9.9159    0.4323         0.5093    0.7500
  257    330.76    9.9159    0.4323         0.5093    0.7500
  258    331.09    9.9258    0.0792         0.6630    0.1167
  259    334.84   10.0383    0.4831         0.9522    0.7500
  260    336.10   10.0759    0.3070         0.1035    0.7500
  261    336.10   10.0759    0.3070         0.1035    0.7500
  262    336.95   10.1014    0.2224         0.6396    0.3207
  263    339.46   10.1766    0.0009         0.2135    0.4361
  264    340.07   10.1949    1.0663         0.8568    0.7500
  265    340.07   10.1949    1.0663         0.8568    0.7500
  266    341.50   10.2380    0.0016        14.0034    0.7471
  267    343.33   10.2929    0.1725         0.5223    0.7500
  268    343.33   10.2929    0.1725         0.5223    0.7500
  269    344.08   10.3153    0.0916         0.0823    0.7500
  270    344.08   10.3153    0.0916         0.0823    0.7500
  271    345.24   10.3499    0.8060         0.4940    0.5311
  272    346.34   10.3831    4.0528         0.1548    0.7500
  273    346.34   10.3831    4.0528         0.1548    0.7500
  274    348.94   10.4611   21.3235         1.7052    0.7500
  275    348.94   10.4611   21.3235         1.7052    0.7500
  276    352.85   10.5781   15.2077         0.2282    0.7500
  277    352.85   10.5781   15.2077         0.2282    0.7500
  278    354.22   10.6193    0.5819         0.1720    0.7500
